,Artist,Track,Popularity,Track_Number,Album_Name,Total_Tracks,Release_Date
26,tobi lou,I Was Sad Last Night I'm OK Now,71,3,Live on Ice,21,2019-08-02
27,Melanie Martinez,High School Sweethearts,75,12,K-12,13,2019-09-06
28,BLACKPINK,Kill This Love,78,1,KILL THIS LOVE,5,2019-04-05
29,Marshmello,Here With Me,75,1,Here With Me,1,2019-03-08
30,Ashnikko,STUPID (feat. Yung Baby Tate),73,3,"Hi, It's Me",5,2019-07-12
31,Maggie Rogers,Love You For A Long Time,71,1,Love You For A Long Time,1,2019-11-21
32,Tainy,Adicto (with Anuel AA & Ozuna),78,1,Adicto (with Anuel AA & Ozuna),1,2019-08-22
33,Billie Eilish,xanny,75,3,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",14,2019-03-29
34,Megan Thee Stallion,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),72,1,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),1,2019-08-09
35,Tyga,Taste (feat. Offset),77,13,Legendary,14,2019-06-07
36,TWICE,FANCY,78,1,FANCY YOU,6,2019-04-22
37,Harry Styles,To Be So Lonely,75,7,Fine Line,12,2019-12-13
38,WILLOW,"Female Energy, Part 2",71,2,WILLOW,8,2019-07-19
39,Taylor Swift,London Boy,75,11,Lover,18,2019-08-23
40,Shawn Mendes,If I Can't Have You,77,1,If I Can't Have You,1,2019-05-03
41,Taylor Swift,Death By A Thousand Cuts,73,10,Lover,18,2019-08-23
42,Sam Smith,How Do You Sleep?,77,1,How Do You Sleep?,1,2019-07-19
43,Bazanji,2019,74,1,2019,1,2019-01-04
44,Jonas Brothers,Only Human,74,3,Happiness Begins,14,2019-06-07
45,Kameron Marlowe,Giving You Up,69,1,Giving You Up,1,2019-06-14
46,Maggie Rogers,Light On,71,5,Heard It In A Past Life,12,2019-01-18
47,Lil Nas X,Panini,75,2,Panini,2,2019-09-13
48,Ariana Grande,in my head,73,9,"thank u, next",12,2019-02-08
0,Duster,Stars Will Fall,67,5,Capsule Losing Contact,51,2019-03-22
1,Sia,"Thunderclouds (feat. Sia, Diplo, and Labrinth)",75,5,"LABRINTH, SIA & DIPLO PRESENT... LSD",10,2019-04-12
2,Muscadine Bloodline,Put Me in My Place,64,1,Put Me in My Place,1,2019-05-31
3,James TW,You & Me,73,1,Chapters,12,2019-04-26
4,Lizzo,Tempo (feat. Missy Elliott),68,7,Cuz I Love You,11,2019-04-19
5,Doja Cat,Bottom Bitch,68,4,Hot Pink,12,2019-11-07
6,Harry Styles,Treat People With Kindness,72,11,Fine Line,12,2019-12-13
7,Monsune,OUTTA MY MIND,67,1,OUTTA MY MIND,1,2019-08-30
8,Yung Gravy,Whip A Tesla,68,6,Sensational,13,2019-05-31
9,Call Me Karizma,Rebels,68,5,"The Gloomy Tapes, Vol. 2",7,2019-07-26
10,Dayglow,Listerine,68,10,Fuzzybrain,10,2019-11-14
11,PnB Rock,MIDDLE CHILD,68,6,TrapStar Turnt PopStar,18,2019-05-02
12,Luke Chiang,Shouldn't Be,77,1,Shouldn't Be,1,2019-05-01
13,Cardi B,Press,67,1,Press,1,2019-05-31
14,Logic,Keanu Reeves,69,13,Confessions of a Dangerous Mind,16,2019-05-10
15,Khalid,Outta My Head (with John Mayer),68,10,Free Spirit,17,2019-04-05
16,Lady A,What If I Never Get Over You,67,1,Ocean,13,2019-11-15
17,Bea Miller,THAT BITCH,70,1,THAT BITCH,1,2019-11-01
18,Vansire,Metamodernity,68,1,Metamodernity,2,2019-06-11
19,iann dior,molly,67,4,nothings ever good enough,8,2019-05-22
20,Cigarettes After Sex,Heavenly,63,3,Cry,9,2019-10-25
21,Melanie Martinez,Lunchbox Friends,69,8,K-12,13,2019-09-06
22,Offset,Clout (feat. Cardi B),71,12,FATHER OF 4,16,2019-02-22
23,The Lumineers,Gloria,64,3,III,13,2019-09-13
24,Boy In Space,Cold,70,1,Cold,1,2019-08-08
25,Slayyyter,Mine,71,1,Mine,1,2019-05-03
26,Avicii,SOS (feat. Aloe Blacc),75,3,TIM,12,2019-06-06
27,Taylor Swift,Christmas Tree Farm,71,1,Christmas Tree Farm,1,2019-12-06
28,The Band CAMINO,See Through,64,5,tryhard,8,2019-08-23
29,Djo,Chateau (Feel Alright),66,5,Twenty Twenty,12,2019-09-13
30,Jake Scott,Favorite T-Shirt,66,2,Year of the Sunflower,9,2019-12-06
31,Tee Grizzley,Young Grizzley World (feat. A Boogie Wit Da Hoodie & YNW Melly),66,14,Scriptures,14,2019-06-07
32,Taylor Swift,Lover (Remix) [feat. Shawn Mendes],72,1,Lover (Remix) [feat. Shawn Mendes],1,2019-11-13
33,Mahalia,What You Did (feat. Ella Mai),68,9,LOVE AND COMPROMISE,13,2019-09-06
34,Rex Orange County,Always,68,2,Pony,10,2019-10-25
35,NF,The Search - Edit,73,1,The Search (Edit),1,2019-06-07
36,Lost Kings,Don't Kill My High,66,1,Paper Crowns (Deluxe),6,2019-01-18
37,Lana Del Rey,Norman fucking Rockwell,70,1,Norman Fucking Rockwell!,14,2019-08-30
38,Yung Gravy,The Boys Are Back In Town,67,4,Sensational,13,2019-05-31
39,Yot Club,Japan,67,1,Japan,1,2019-03-28
40,Nicki Minaj,MEGATRON,67,1,MEGATRON,1,2019-06-21
41,Andy Grammer,I Found You,66,2,Naive,13,2019-07-26
42,Rauw Alejandro,Fantasias,77,1,Fantasias,1,2019-08-29
43,Freya Ridings,Lost Without You,72,2,Freya Ridings,12,2019-07-19
44,James Arthur,Falling Like The Stars,73,14,YOU,17,2019-10-18
45,Machine Gun Kelly,el Diablo,69,2,Hotel Diablo,14,2019-07-05
46,Fitz and The Tantrums,I Just Wanna Shine,66,3,All the Feels,17,2019-09-20
47,Lana Del Rey,Mariners Apartment Complex,70,2,Norman Fucking Rockwell!,14,2019-08-30
48,NF,My Stress,68,4,The Search,20,2019-07-26
0,Men I Trust,Numb,67,1,Numb,1,2019-04-12
1,Don Toliver,HAD ENOUGH (feat. Quavo & Offset),68,4,JACKBOYS,7,2019-12-27
2,Dayglow,Run the World!!!,67,4,Fuzzybrain,10,2019-11-14
3,Khalid,Free Spirit,67,11,Free Spirit,17,2019-04-05
4,Billie Eilish,goodbye,70,14,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",14,2019-03-29
5,Maggie Rogers,Fallingwater,65,9,Heard It In A Past Life,12,2019-01-18
6,Foster The People,Imagination,75,1,Imagination,1,2019-06-21
7,Megan Thee Stallion,Sex Talk,65,12,Fever,14,2019-05-17
8,Curren$y,All Work,67,2,Back at Burnie’s,10,2019-12-20
9,keshi,skeletons,70,2,skeletons,4,2019-07-16
10,Dominic Fike,Açaí Bowl,65,1,Açaí Bowl,1,2019-06-07
11,Avril Lavigne,Head Above Water,70,1,Head Above Water,12,2019-02-15
12,Lewis Capaldi,Hold Me While You Wait,69,1,Hold Me While You Wait,2,2019-05-03
13,YUNGBLUD,parents,72,2,the underrated youth,6,2019-10-18
14,SAINt JHN,Roses - Imanbek Remix,63,1,Roses (Imanbek Remix),1,2019-09-13
15,Dee Watkins,Bad Ass Jit,64,1,Bad Ass Jit,1,2019-12-17
16,Young M.A,BIG,67,3,Herstory in the Making,21,2019-09-27
17,Rex Orange County,Face to Face,67,4,Pony,10,2019-10-25
18,Dermot Kennedy,Power Over Me,74,3,Without Fear,13,2019-10-04
19,Nipsey Hussle,Racks in the Middle (feat. Roddy Ricch and Hit-Boy),68,1,Racks in the Middle (feat. Roddy Ricch and Hit-Boy),1,2019-02-15
20,YG,"Go Loko (feat. Tyga, Jon Z)",70,4,4REAL 4REAL,14,2019-05-24
21,MyKey,Was It Something I Said,65,1,Was It Something I Said,1,2019-07-26
22,A R I Z O N A,Nostalgic,66,2,ASYLUM,9,2019-10-11
23,Promoting Sounds,Dead Eyes,70,1,Dead Eyes,1,2019-11-08
24,Sam Feldt,Post Malone (feat. RANI),71,2,Post Malone (feat. RANI) [Joe Stone Remix],2,2019-08-16
25,Miley Cyrus,Mother's Daughter,71,1,SHE IS COMING,6,2019-05-31
26,AJ Mitchell,Slow Dance (feat. Ava Max),69,1,Slow Dance (feat. Ava Max),1,2019-08-09
27,BTS,Make It Right,74,4,MAP OF THE SOUL : PERSONA,7,2019-04-12
28,Qveen Herby,Vitamins,65,1,EP 7,5,2019-11-05
29,Jack & Jack,No One Compares To You,70,1,A Good Friend Is Nice,12,2019-01-25
30,BENEE,Wishful Thinking,65,3,FIRE ON MARZZ,6,2019-06-28
31,Rauw Alejandro,El Efecto,79,1,El Efecto,1,2019-03-15
32,Melanie Martinez,Nurse's Office,68,5,K-12,13,2019-09-06
33,Frank Ocean,DHL,67,1,DHL,1,2019-10-19
34,NF,I Miss The Days,69,13,The Search,20,2019-07-26
35,Weyes Blood,Andromeda,67,2,Titanic Rising,10,2019-04-05
36,Virginia To Vegas,Just Friends,67,1,Just Friends,1,2019-05-24
37,Joji,Sanctuary,70,1,Sanctuary,1,2019-06-14
38,Harry Styles,Watermelon Sugar,73,1,Watermelon Sugar,2,2019-11-17
39,Hozier,Shrike,64,8,"Wasteland, Baby!",14,2019-03-01
40,Bazzi,Focus (feat. 21 Savage),67,3,Soul Searching,11,2019-08-09
41,Reik,Me Niego (feat. Ozuna & Wisin),75,1,Ahora,9,2019-05-31
42,Ciara,Level Up,68,2,Beauty Marks,11,2019-05-10
43,TOMORROW X TOGETHER,9 and Three Quarters - Run Away,73,2,The Dream Chapter: MAGIC,8,2019-10-21
44,LÉON,Hope Is A Heartache,69,3,LÉON,10,2019-03-01
45,BTS,Dionysus,73,7,MAP OF THE SOUL : PERSONA,7,2019-04-12
46,Mokita,colorblind,72,1,colorblind,1,2019-11-01
47,half•alive,creature,67,12,"Now, Not Yet",12,2019-08-09
48,Ruel,Hard Sometimes,69,4,Free Time,7,2019-09-13
0,Khalid,Up All Night,68,1,Up All Night,1,2019-11-14
1,Valley,There's Still A Light In The House,65,2,MAYBE,18,2019-09-17
2,Quadeca,BEAMIN',65,1,BEAMIN',1,2019-11-29
3,Faouzia,Tears of Gold,70,1,Tears of Gold,1,2019-11-20
4,Rexx Life Raj,Moonwalk,67,3,Father Figure 3: Somewhere Out There,15,2019-11-06
5,Hot Shade,Dive,73,1,Dive,1,2019-12-20
6,Tyga,Ayy Macarena,75,1,Ayy Macarena,1,2019-11-13
7,Loud Luxury,I'm Not Alright,61,1,I'm Not Alright (Remixes),6,2019-12-20
8,Melanie Martinez,Detention,67,10,K-12,13,2019-09-06
9,Doja Cat,Better Than Me,66,11,Hot Pink,12,2019-11-07
10,Tech N9ne,Red Kingdom,66,1,Red Kingdom,1,2019-09-11
11,Tory Lanez,Jerry Sprunger (with T-Pain),69,3,Chixtape 5,18,2019-11-15
12,Ariana Grande,MONOPOLY (with Victoria Monét),68,1,MONOPOLY,1,2019-04-01
13,Why Don't We,Big Plans,60,1,Big Plans,1,2019-01-17
14,Yung Gravy,Magic,65,5,Sensational,13,2019-05-31
15,Grady,CAN YOU HEAR THE MOON,66,1,The in Between,3,2019-10-25
16,Lana Del Rey,How to disappear,68,8,Norman Fucking Rockwell!,14,2019-08-30
17,Briston Maroney,Small Talk,64,1,Indiana,4,2019-05-17
18,James Blake,Mile High (feat. Travis Scott & Metro Boomin),68,2,Assume Form,12,2019-01-18
19,Labrinth,We All Knew,70,8,Euphoria (Original Score from the HBO Series),26,2019-10-04
20,Kehlani,All Me (feat. Keyshia Cole),64,1,All Me (feat. Keyshia Cole),1,2019-12-23
21,girl in red,dead girl in the pool.,67,1,dead girl in the pool.,1,2019-05-08
22,Jonas Brothers,Cool,66,2,Happiness Begins,14,2019-06-07
23,YK Osiris,Valentine,64,14,The Golden Child,15,2019-10-11
24,Justin Wellington,Iko Iko (My Bestie),80,1,Iko Iko (My Bestie),1,2019-06-03
25,Khalid,Right Back (feat. A Boogie Wit Da Hoodie),66,1,Right Back (feat. A Boogie Wit Da Hoodie),1,2019-08-13
26,Ryan Caraveo,Peanut Butter Waffles,64,9,Butterfly Boy,16,2019-08-23
27,Djo,Roddy,65,6,Twenty Twenty,12,2019-09-13
28,James Bay,Peer Pressure,71,1,Oh My Messy Mind,4,2019-05-10
29,Big Sean,Bezerk (feat. A$AP Ferg),65,1,Bezerk,1,2019-08-26
30,Yelawolf,You and Me,66,10,Ghetto Cowboy,14,2019-11-01
31,Noah Kahan,Young Blood,66,4,Busyhead,10,2019-06-14
32,Saweetie,My Type (feat. City Girls & Jhené Aiko) - Remix,64,1,My Type (feat. City Girls & Jhené Aiko) [Remix],2,2019-08-23
33,NF,Only,67,9,The Search,20,2019-07-26
34,Mrs. GREEN APPLE,インフェルノ,71,1,インフェルノ,1,2019-07-18
35,Lewis Capaldi,Grace,71,1,Divinely Uninspired To A Hellish Extent,12,2019-05-17
36,Kelly Clarkson,Broken & Beautiful,67,1,Broken & Beautiful,1,2019-03-27
